cargo_id,service_area,cargo_type,cargo_weight_kg,cargo_volume_m3,is_first_batch,is_medical,first_deadline_s,expected_delivery_s,priority_weight,hard_deadline_s
S001-MED-01,S001,医疗物资,3.0,0.012,1,1,3600.0,3600.0,24.0,3600.0
S001-MED-02,S001,医疗物资,3.0,0.012,0,1,,3600.0,24.0,3600.0
S001-WAT-01,S001,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S001-WAT-02,S001,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S001-WAT-03,S001,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S001-WAT-04,S001,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S001-WAT-05,S001,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S001-WAT-06,S001,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S001-WAT-07,S001,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S001-WAT-08,S001,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S001-FOD-01,S001,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S001-FOD-02,S001,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S001-FOD-03,S001,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S001-HYG-01,S001,生活卫生用品,6.0,0.035,0,0,,10800.0,8.0,
S001-HYG-02,S001,生活卫生用品,6.0,0.035,0,0,,10800.0,8.0,
S002-MED-01,S002,医疗物资,3.0,0.012,1,1,3600.0,3600.0,24.0,3600.0
S002-WAT-01,S002,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S002-WAT-02,S002,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S002-WAT-03,S002,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S002-WAT-04,S002,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S002-FOD-01,S002,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S002-FOD-02,S002,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S002-HYG-01,S002,生活卫生用品,6.0,0.035,0,0,,10800.0,8.0,
S003-MED-01,S003,医疗物资,3.0,0.012,1,1,7200.0,7200.0,20.0,7200.0
S003-WAT-01,S003,饮用水,14.0,0.027,1,0,7200.0,7200.0,10.0,7200.0
S003-WAT-02,S003,饮用水,14.0,0.027,0,0,,7200.0,10.0,
