battery_id,uav_type,trip_id,phase,start_s,end_s,soc_start,soc_end,run_id
A01,A,T001,任务占用,330.0,1253.4781941236301,1.0,0.7135818770459792,20260923_191417_344885
A01,A,T001,充电,1253.4781941236301,2125.821753963857,0.7135818770459792,1.0,20260923_191417_344885
A02,A,T002,任务占用,330.0,1594.8627275525841,1.0,0.5730302478184794,20260923_191417_344885
A02,A,T002,充电,1594.8627275525841,2649.923405388561,0.5730302478184794,1.0,20260923_191417_344885
A03,A,T003,任务占用,330.0,1552.1137376764395,1.0,0.5723410807763508,20260923_191417_344885
A03,A,T003,充电,1552.1137376764395,2608.0703326671837,0.5723410807763508,1.0,20260923_191417_344885
A04,A,T004,任务占用,330.0,2118.800185367184,1.0,0.3254765516173017,20260923_191417_344885
A04,A,T004,充电,2118.800185367184,3495.680668264692,0.3254765516173017,1.0,20260923_191417_344885
B01,B,T005,任务占用,330.0,1435.3795658311299,1.0,0.6309216350924542,20260923_191417_344885
B01,B,T005,充电,1435.3795658311299,2741.782065004209,0.6309216350924542,1.0,20260923_191417_344885
B02,B,T006,任务占用,330.0,1390.4723251020891,1.0,0.630858726576218,20260923_191417_344885
B02,B,T006,充电,1390.4723251020891,2696.983865703311,0.630858726576218,1.0,20260923_191417_344885
C01,C,T007,任务占用,570.0,1692.1690773291593,1.0,0.6599509371566211,20260923_191417_344885
C01,C,T007,充电,1692.1690773291593,3262.2753801564804,0.6599509371566211,1.0,20260923_191417_344885
C02,C,T008,任务占用,510.0,2173.812384815261,1.0,0.21489691717438142,20260923_191417_344885
C02,C,T008,充电,2173.812384815261,4708.202397604101,0.21489691717438142,1.0,20260923_191417_344885
A05,A,T009,任务占用,1583.4781941236301,2882.0914259549595,1.0,0.5277898119372235,20260923_191417_344885
A05,A,T009,充电,2882.0914259549595,3995.9646704365687,0.5277898119372235,1.0,20260923_191417_344885
B03,B,T010,任务占用,1780.4723251020891,3313.2126758462746,1.0,0.3118964252995653,20260923_191417_344885
B03,B,T010,充电,3313.2126758462746,5172.592205327028,0.3118964252995653,1.0,20260923_191417_344885
B04,B,T011,任务占用,1825.3795658311299,3305.1359822126738,1.0,0.46490287947314934,20260923_191417_344885
B04,B,T011,充电,3305.1359822126738,4899.3043244592145,0.46490287947314934,1.0,20260923_191417_344885
A06,A,T012,任务占用,1882.1137376764395,2714.136684334318,1.0,0.7592166269885482,20260923_191417_344885
A06,A,T012,充电,2714.136684334318,3527.1550692492056,0.7592166269885482,1.0,20260923_191417_344885
C03,C,T013,任务占用,2262.1690773291593,4743.437538344977,1.0,0.22676421142317427,20260923_191417_344885
C03,C,T013,充电,4743.437538344977,7252.115080261433,0.22676421142317427,1.0,20260923_191417_344885
