cargo_id,trip_id,service_area,delivery_s,cargo_type,is_first_batch,is_medical,first_deadline_s,expected_delivery_s,hard_deadline_s,lateness_s,priority_weight,run_id
S001-FOD-01,T007,S001,1380.2695386645796,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S001-FOD-02,T007,S001,1380.2695386645796,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S001-FOD-03,T007,S001,1380.2695386645796,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S001-HYG-01,T007,S001,1380.2695386645796,生活卫生用品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S001-HYG-02,T007,S001,1380.2695386645796,生活卫生用品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S001-MED-01,T007,S001,1380.2695386645796,医疗物资,1,1,3600.0,3600.0,3600.0,0.0,24.0,20260923_191417_344885
S001-MED-02,T007,S001,1380.2695386645796,医疗物资,0,1,,3600.0,3600.0,0.0,24.0,20260923_191417_344885
S001-WAT-01,T007,S001,1380.2695386645796,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S001-WAT-02,T017,S001,3562.7097687063024,饮用水,0,0,,3600.0,,0.0,12.0,20260923_191417_344885
S001-WAT-03,T018,S001,4014.2537526366764,饮用水,0,0,,3600.0,,414.2537526366764,12.0,20260923_191417_344885
S001-WAT-04,T019,S001,4102.809419192683,饮用水,0,0,,3600.0,,502.809419192683,12.0,20260923_191417_344885
S001-WAT-05,T020,S001,4110.886112826284,饮用水,0,0,,3600.0,,510.88611282628426,12.0,20260923_191417_344885
S001-WAT-06,T021,S001,4273.00807016717,饮用水,0,0,,3600.0,,673.0080701671704,12.0,20260923_191417_344885
S001-WAT-07,T022,S001,4514.537754808553,饮用水,0,0,,3600.0,,914.5377548085526,12.0,20260923_191417_344885
S001-WAT-08,T007,S001,1380.2695386645796,饮用水,0,0,,3600.0,,0.0,12.0,20260923_191417_344885
S002-FOD-01,T008,S002,1553.3161924076305,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S002-FOD-02,T008,S002,1553.3161924076305,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S002-HYG-01,T008,S002,1553.3161924076305,生活卫生用品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
