resource_type,resource_id,task_busy_s,charge_busy_s_within_makespan,utilization,horizon_s
无人机,U01,7741.970262937402,0.0,0.8745088929927717,8852.934858606857
无人机,U02,8651.975832195585,0.0,0.9773002931094766,8852.934858606857
无人机,U03,7400.887906022663,0.0,0.8359812902980407,8852.934858606857
无人机,U04,6590.522819469549,0.0,0.7444449693495957,8852.934858606857
无人机,U05,6976.88701018033,0.0,0.7880874672196841,8852.934858606857
无人机,U06,7510.107441526272,0.0,0.8483183894914709,8852.934858606857
无人机,U07,8455.706788637039,0.0,0.9551303521019776,8852.934858606857
无人机,U08,7389.644368119558,0.0,0.8347112552099395,8852.934858606857
电池,A01,4934.369805445775,2885.203316018768,0.8832746706435237,8852.934858606857
电池,A02,3914.5624149970704,3284.24859591327,0.8131553124342294,8852.934858606857
电池,A03,4499.897612926799,4023.0372456800574,0.9627242258899971,8852.934858606857
电池,A04,4438.499872811671,3606.068400974801,0.9086894235944266,8852.934858606857
电池,A05,3381.626471585071,3006.760671459622,0.7216123517314575,8852.934858606857
电池,A06,2616.400642858812,2527.1723980761067,0.5810020205823967,8852.934858606857
电池,B01,2681.751027967657,3311.9730091324072,0.6770324341958692,8852.934858606857
电池,B02,2924.9520982265713,3732.968505923345,0.7520580135837168,8852.934858606857
电池,B03,3163.2636542876558,3576.497668401549,0.7613024867269618,8852.934858606857
电池,B04,2297.0276712247187,2722.8869191777753,0.5670339464343978,8852.934858606857
电池,C01,3295.9097110287876,3033.3967933146205,0.7149387864511431,8852.934858606857
电池,C02,3413.5135979007227,4444.1861199652585,0.8875813324466852,8852.934858606857
电池,C03,2481.2684610158176,2508.677541916456,0.5636487879588348,8852.934858606857
电池,C04,3174.6593868112686,2943.3270401164555,0.691068727449157,8852.934858606857
