trip_id,uav_id,uav_type,battery_id,start_s,route,return_s,energy_kwh,takeoff_s,cargo_ids,candidate_id,payload_kg,volume_m3,return_soc,run_id
T001,U01,A,A01,0.0,"[""O01"", ""S006"", ""O01""]",1253.4781941236301,1.2888815532930935,330.0,"[""S006-WAT-01""]",Kf1fd5e0d441afb80,14.0,0.027,0.7135818770459792,20260923_191417_344885
T002,U02,A,A02,0.0,"[""O01"", ""S010"", ""O01""]",1594.8627275525841,1.9213638848168428,330.0,"[""S010-WAT-01""]",Kf71e6d8f238b7afc,14.0,0.027,0.5730302478184794,20260923_191417_344885
T003,U03,A,A03,0.0,"[""O01"", ""S013"", ""O01""]",1552.1137376764395,1.9244651365064214,330.0,"[""S013-WAT-01""]",Kdfb7d6534c664afa,14.0,0.027,0.5723410807763508,20260923_191417_344885
T004,U04,A,A04,0.0,"[""O01"", ""S004"", ""O01""]",2118.800185367184,3.0353555177221425,330.0,"[""S004-WAT-01""]",K7bae4759637950ad,14.0,0.027,0.3254765516173017,20260923_191417_344885
T005,U05,B,B01,0.0,"[""O01"", ""S010"", ""O01""]",1435.3795658311299,1.4763134596301828,330.0,"[""S010-MED-01""]",K387129bb5e6c964b,3.0,0.012,0.6309216350924542,20260923_191417_344885
T006,U06,B,B02,0.0,"[""O01"", ""S013"", ""O01""]",1390.4723251020891,1.4765650936951282,330.0,"[""S013-MED-01""]",Kb665122dc4c06a21,3.0,0.012,0.630858726576218,20260923_191417_344885
T007,U07,C,C01,0.0,"[""O01"", ""S001"", ""O01""]",1692.1690773291593,2.720392502747031,570.0,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-FOD-03"", ""S001-HYG-01"", ""S001-HYG-02"", ""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-08""]",K1df606eb1559dd75,70.0,0.232,0.6599509371566211,20260923_191417_344885
T008,U08,C,C02,0.0,"[""O01"", ""S002"", ""O01""]",2173.812384815261,6.280824662604949,510.0,"[""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-02"", ""S002-WAT-03""]",K13be319b34d80848,67.0,0.184,0.21489691717438142,20260923_191417_344885
T009,U01,A,A05,1253.4781941236301,"[""O01"", ""S009"", ""O01""]",2882.0914259549595,2.124945846282494,1583.4781941236301,"[""S009-MED-01""]",K639277b45f754bb7,3.0,0.012,0.5277898119372235,20260923_191417_344885
T010,U06,B,B03,1390.4723251020891,"[""O01"", ""S012"", ""O01""]",3313.2126758462746,2.752414298801739,1780.4723251020891,"[""S012-FOD-01"", ""S012-MED-01"", ""S012-WAT-01""]",K818373b2b01da0de,25.0,0.067,0.3118964252995653,20260923_191417_344885
T011,U05,B,B04,1435.3795658311299,"[""O01"", ""S014"", ""O01""]",3305.1359822126738,2.1403884821074026,1825.3795658311299,"[""S014-FOD-01"", ""S014-MED-01"", ""S014-WAT-01""]",K3cdbabc671554db6,25.0,0.067,0.46490287947314934,20260923_191417_344885
T012,U03,A,A06,1552.1137376764395,"[""O01"", ""S011"", ""O01""]",2714.136684334318,1.083525178551533,1882.1137376764395,"[""S011-MED-01""]",Kddd0efc2418e7a92,3.0,0.012,0.7592166269885482,20260923_191417_344885
T013,U07,C,C03,1692.1690773291593,"[""O01"", ""S006"", ""S007"", ""S015"", ""O01""]",4743.437538344977,6.185886308614606,2262.1690773291593,"[""S006-MED-01"", ""S007-FOD-01"", ""S007-HYG-01"", ""S007-MED-01"", ""S007-WAT-01"", ""S007-WAT-02"", ""S015-FOD-01"", ""S015-MED-01"", ""S015-WAT-01""]",K08687fa7698f9ca9,73.0,0.20800000000000002,0.22676421142317427,20260923_191417_344885
T014,U02,A,A01,1795.8217539638572,"[""O01"", ""S009"", ""O01""]",3424.4349857951865,2.2171714488633962,2125.821753963857,"[""S009-WAT-01""]",K6d28f87bf4a9adf4,14.0,0.027,0.507295233585912,20260923_191417_344885
T015,U08,C,C04,2173.812384815261,"[""O01"", ""S003"", ""O01""]",4675.90373441993,6.3240577359260435,2683.812384815261,"[""S003-FOD-01"", ""S003-FOD-02"", ""S003-HYG-01"", ""S003-MED-01"", ""S003-WAT-01"", ""S003-WAT-02"", ""S003-WAT-04""]",K7d1c2b76b4e740be,67.0,0.184,0.20949278300924457,20260923_191417_344885
T016,U04,A,A03,2278.0703326671837,"[""O01"", ""S011"", ""O01""]",3440.093279325062,1.1325068400047704,2608.0703326671837,"[""S011-WAT-01""]",Kd38bf7ab5ed430fa,14.0,0.027,0.7483318133322732,20260923_191417_344885
T017,U03,A,A02,2714.136684334318,"[""O01"", ""S001"", ""O01""]",3905.0361864116203,1.2195257371607946,3044.136684334318,"[""S001-WAT-02""]",Kf60ae6dae18a6492,14.0,0.027,0.7289942806309345,20260923_191417_344885
T018,U01,A,A04,3165.680668264692,"[""O01"", ""S001"", ""O01""]",4356.580170341995,1.2195257371607946,3495.680668264692,"[""S001-WAT-03""]",K35c7b3e302c7ade7,14.0,0.027,0.7289942806309345,20260923_191417_344885
T019,U05,B,B02,3305.1359822126738,"[""O01"", ""S001"", ""O01""]",4394.236189506026,1.0069748039987942,3635.1359822126738,"[""S001-WAT-04""]",K2427fa81633eda7c,14.0,0.027,0.7482562990003014,20260923_191417_344885
T020,U06,B,B01,3313.2126758462746,"[""O01"", ""S001"", ""O01""]",4402.312883139626,1.0069748039987942,3643.2126758462746,"[""S001-WAT-05""]",K0992c11c34b1a641,14.0,0.027,0.7482562990003014,20260923_191417_344885
T021,U02,A,A06,3424.4349857951865,"[""O01"", ""S001"", ""O01""]",4615.334487872489,1.2195257371607946,3754.4349857951865,"[""S001-WAT-06""]",Kbd7c6dc81386deee,14.0,0.027,0.7289942806309345,20260923_191417_344885
T022,U04,A,A05,3665.9646704365687,"[""O01"", ""S001"", ""O01""]",4856.864172513871,1.2195257371607946,3995.9646704365687,"[""S001-WAT-07""]",K52efb09e27c88528,14.0,0.027,0.7289942806309345,20260923_191417_344885
T023,U03,A,A03,3937.2619219931075,"[""O01"", ""S002"", ""O01""]",5880.999903927711,2.871432789745099,4267.2619219931075,"[""S002-WAT-04""]",Kaf7dd1e100a71be6,14.0,0.027,0.36190382450108904,20260923_191417_344885
T024,U01,A,A01,4356.580170341995,"[""O01"", ""S006"", ""O01""]",5610.058364465625,1.2888815532930935,4686.580170341995,"[""S006-WAT-02""]",Ka5bd4032e505313b,14.0,0.027,0.7135818770459792,20260923_191417_344885
T025,U05,B,B04,4569.3043244592145,"[""O01"", ""S006"", ""O01""]",5716.575579302389,1.0662736390720797,4899.3043244592145,"[""S006-WAT-03""]",K2e9223eb2b2ca181,14.0,0.027,0.7334315902319801,20260923_191417_344885
T026,U02,A,A02,4615.334487872489,"[""O01"", ""S004"", ""O01""]",6734.134673239673,3.0353555177221425,4945.334487872489,"[""S004-WAT-02""]",Kb9a5d3127686f58b,14.0,0.027,0.3254765516173017,20260923_191417_344885
T027,U08,C,C01,4675.90373441993,"[""O01"", ""S005"", ""S004"", ""O01""]",7389.644368119558,6.306570627113795,5215.90373441993,"[""S004-FOD-01"", ""S004-MED-01"", ""S005-FOD-01"", ""S005-HYG-01"", ""S005-MED-01"", ""S005-WAT-01"", ""S005-WAT-02"", ""S005-WAT-03""]",Kb416b63a32900839,70.0,0.196,0.21167867161077558,20260923_191417_344885
T028,U07,C,C02,4743.437538344977,"[""O01"", ""S008"", ""O01""]",6943.138751430439,5.8360117114838115,5193.437538344977,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",Kbe0b914994b33c65,45.0,0.129,0.27049853606452356,20260923_191417_344885
T029,U06,B,B03,4842.592205327028,"[""O01"", ""S003"", ""O01""]",6803.115508870498,2.424118782124915,5172.592205327028,"[""S003-WAT-03""]",Kba546f3b2925e2cc,14.0,0.027,0.39397030446877124,20260923_191417_344885
T030,U04,A,A04,4878.88760552178,"[""O01"", ""S004"", ""O01""]",6997.687790888964,3.0353555177221425,5208.88760552178,"[""S004-WAT-03""]",Kf66a81ce45238bdb,14.0,0.027,0.3254765516173017,20260923_191417_344885
T031,U01,A,A06,5610.058364465625,"[""O01"", ""S006"", ""O01""]",6863.536558589256,1.2525458468588089,5940.058364465625,"[""S006-FOD-01""]",K5b1ba47004961453,8.0,0.028,0.7216564784758203,20260923_191417_344885
T032,U05,B,B02,5716.575579302389,"[""O01"", ""S010"", ""O01""]",7151.955145133519,1.5156181928984134,6046.575579302389,"[""S010-FOD-01""]",K2c6bc08539c8fb48,8.0,0.028,0.6210954517753966,20260923_191417_344885
T033,U03,A,A05,5880.999903927711,"[""O01"", ""S013"", ""O01""]",7433.11364160415,1.8712384331477103,6210.999903927711,"[""S013-FOD-01""]",K806392540527a13e,8.0,0.028,0.5841692370782866,20260923_191417_344885
T034,U02,A,A01,6734.134673239673,"[""O01"", ""S004"", ""O01""]",8852.934858606857,2.933570877838128,7064.134673239673,"[""S004-HYG-01""]",K7f7859856d4d5769,6.0,0.035,0.348095360480416,20260923_191417_344885
T035,U06,B,B01,6803.115508870498,"[""O01"", ""S006"", ""O01""]",7950.386763713674,1.0051693912607804,7133.115508870498,"[""S006-HYG-01""]",K6f723a6043e173d6,6.0,0.035,0.7487076521848048,20260923_191417_344885
T036,U01,A,A03,6880.524932076295,"[""O01"", ""S011"", ""O01""]",8042.5478787341735,1.10144721478425,7210.524932076295,"[""S011-FOD-01""]",K7fbe7e9ce8e57a6e,8.0,0.028,0.7552339522701667,20260923_191417_344885
T037,U07,C,C04,6943.138751430439,"[""O01"", ""S009"", ""O01""]",8455.706788637039,3.606797264837633,7273.138751430439,"[""S009-FOD-01""]",Kb52e1f117b64f0c1,8.0,0.028,0.5491503418952959,20260923_191417_344885
