uav_id,trip_id,phase,start_s,end_s,run_id
U01,T001,准备装载,0.0,330.0,20260923_191417_344885
U01,T001,爬升,330.0,409.4659464518229,20260923_191417_344885
U01,T001,巡航,409.4659464518229,674.9832946529609,20260923_191417_344885
U01,T001,下降,674.9832946529609,695.5024303951484,20260923_191417_344885
U01,T001,交接,695.5024303951484,875.5024303951484,20260923_191417_344885
U01,T001,爬升,875.5024303951484,892.6017101803046,20260923_191417_344885
U01,T001,巡航,892.6017101803046,1158.1190583814425,20260923_191417_344885
U01,T001,下降,1158.1190583814425,1253.4781941236301,20260923_191417_344885
U02,T002,准备装载,0.0,330.0,20260923_191417_344885
U02,T002,爬升,330.0,432.6455118815104,20260923_191417_344885
U02,T002,巡航,432.6455118815104,831.3534161851462,20260923_191417_344885
U02,T002,下降,831.3534161851462,864.9680304429587,20260923_191417_344885
U02,T002,交接,864.9680304429587,1044.9680304429587,20260923_191417_344885
U02,T002,爬升,1044.9680304429587,1072.980208991136,20260923_191417_344885
U02,T002,巡航,1072.980208991136,1471.6881132947717,20260923_191417_344885
U02,T002,下降,1471.6881132947717,1594.8627275525841,20260923_191417_344885
U03,T003,准备装载,0.0,330.0,20260923_191417_344885
U03,T003,爬升,330.0,420.4939412434896,20260923_191417_344885
U03,T003,巡航,420.4939412434896,824.5974726793655,20260923_191417_344885
U03,T003,下降,824.5974726793655,843.5902021715531,20260923_191417_344885
U03,T003,交接,843.5902021715531,1023.5902021715531,20260923_191417_344885
U03,T003,爬升,1023.5902021715531,1039.417476748376,20260923_191417_344885
U03,T003,巡航,1039.417476748376,1443.521008184252,20260923_191417_344885
U03,T003,下降,1443.521008184252,1552.1137376764395,20260923_191417_344885
U04,T004,准备装载,0.0,330.0,20260923_191417_344885
U04,T004,爬升,330.0,420.1797220865885,20260923_191417_344885
U04,T004,巡航,420.1797220865885,1063.0710928463525,20260923_191417_344885
U04,T004,下降,1063.0710928463525,1131.0467593502588,20260923_191417_344885
U04,T004,交接,1131.0467593502588,1311.0467593502588,20260923_191417_344885
U04,T004,爬升,1311.0467593502588,1367.693148103514,20260923_191417_344885
U04,T004,巡航,1367.693148103514,2010.584518863278,20260923_191417_344885
U04,T004,下降,2010.584518863278,2118.800185367184,20260923_191417_344885
U05,T005,准备装载,0.0,330.0,20260923_191417_344885
U05,T005,爬升,330.0,432.6455118815104,20260923_191417_344885
U05,T005,巡航,432.6455118815104,751.6118353244191,20260923_191417_344885
U05,T005,下降,751.6118353244191,785.2264495822316,20260923_191417_344885
U05,T005,交接,785.2264495822316,965.2264495822316,20260923_191417_344885
U05,T005,爬升,965.2264495822316,993.2386281304086,20260923_191417_344885
U05,T005,巡航,993.2386281304086,1312.2049515733174,20260923_191417_344885
U05,T005,下降,1312.2049515733174,1435.3795658311299,20260923_191417_344885
U06,T006,准备装载,0.0,330.0,20260923_191417_344885
U06,T006,爬升,330.0,420.4939412434896,20260923_191417_344885
U06,T006,巡航,420.4939412434896,743.7767663921903,20260923_191417_344885
U06,T006,下降,743.7767663921903,762.7694958843779,20260923_191417_344885
U06,T006,交接,762.7694958843779,942.7694958843779,20260923_191417_344885
U06,T006,爬升,942.7694958843779,958.5967704612008,20260923_191417_344885
U06,T006,巡航,958.5967704612008,1281.8795956099016,20260923_191417_344885
U06,T006,下降,1281.8795956099016,1390.4723251020891,20260923_191417_344885
U07,T007,准备装载,0.0,570.0,20260923_191417_344885
U07,T007,爬升,570.0,628.1426440429688,20260923_191417_344885
U07,T007,巡航,628.1426440429688,831.7412336108687,20260923_191417_344885
