check,passed,detail
K1df606eb1559dd75/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K1df606eb1559dd75/能耗复算,True,2.720392502747031
K1df606eb1559dd75/时间复算,True,1692.1690773291593
K1df606eb1559dd75/资源兼容,True,U07/C01
K1df606eb1559dd75/开始时刻,True,0.0
K1df606eb1559dd75/返航SOC,True,0.6599509371566211
S001-MED-01/首批时限,True,1380.269538665 <= 3600.0
S001-MED-01/医疗时限,True,1380.269538665 <= 3600.0
S001-MED-02/医疗时限,True,1380.269538665 <= 3600.0
S001-WAT-01/首批时限,True,1380.269538665 <= 3600.0
K13be319b34d80848/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K13be319b34d80848/能耗复算,True,6.280824662604949
K13be319b34d80848/时间复算,True,2173.812384815261
K13be319b34d80848/资源兼容,True,U08/C02
K13be319b34d80848/开始时刻,True,0.0
K13be319b34d80848/返航SOC,True,0.21489691717438142
S002-MED-01/首批时限,True,1553.316192408 <= 3600.0
S002-MED-01/医疗时限,True,1553.316192408 <= 3600.0
S002-WAT-01/首批时限,True,1553.316192408 <= 3600.0
Kf14a02aeeb955d62/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kf14a02aeeb955d62/能耗复算,True,2.597987864912184
Kf14a02aeeb955d62/时间复算,True,1561.5538679616648
Kf14a02aeeb955d62/资源兼容,True,U07/C03
Kf14a02aeeb955d62/开始时刻,True,1692.1690773291593
Kf14a02aeeb955d62/返航SOC,True,0.675251516885977
S006-MED-01/首批时限,True,2901.591011310 <= 3600.0
S006-MED-01/医疗时限,True,2901.591011310 <= 3600.0
S006-WAT-01/首批时限,True,2901.591011310 <= 3600.0
K8383d7e145d3842f/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K8383d7e145d3842f/能耗复算,True,1.4435724005375117
K8383d7e145d3842f/时间复算,True,1516.2753989804246
K8383d7e145d3842f/资源兼容,True,U05/B01
K8383d7e145d3842f/开始时刻,True,0.0
K8383d7e145d3842f/返航SOC,True,0.6391068998656221
S007-MED-01/首批时限,True,1005.777699490 <= 3600.0
S007-MED-01/医疗时限,True,1005.777699490 <= 3600.0
K387129bb5e6c964b/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K387129bb5e6c964b/能耗复算,True,1.4763134596301828
K387129bb5e6c964b/时间复算,True,1435.3795658311299
K387129bb5e6c964b/资源兼容,True,U06/B02
K387129bb5e6c964b/开始时刻,True,0.0
K387129bb5e6c964b/返航SOC,True,0.6309216350924542
S010-MED-01/首批时限,True,965.226449582 <= 3600.0
S010-MED-01/医疗时限,True,965.226449582 <= 3600.0
K2278fdfa1d1f0991/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K2278fdfa1d1f0991/能耗复算,True,1.840630612060841
K2278fdfa1d1f0991/时间复算,True,1552.1137376764395
K2278fdfa1d1f0991/资源兼容,True,U01/A01
K2278fdfa1d1f0991/开始时刻,True,0.0
K2278fdfa1d1f0991/返航SOC,True,0.5909709750975909
S013-MED-01/首批时限,True,1023.590202172 <= 3600.0
S013-MED-01/医疗时限,True,1023.590202172 <= 3600.0
K05d98545035b5fc0/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K05d98545035b5fc0/能耗复算,True,1.8725482434819618
K05d98545035b5fc0/时间复算,True,1667.4240845409602
K05d98545035b5fc0/资源兼容,True,U02/A02
K05d98545035b5fc0/开始时刻,True,0.0
K05d98545035b5fc0/返航SOC,True,0.5838781681151196
S007-WAT-01/首批时限,True,1081.352042270 <= 3600.0
Kf71e6d8f238b7afc/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kf71e6d8f238b7afc/能耗复算,True,1.9213638848168428
Kf71e6d8f238b7afc/时间复算,True,1594.8627275525841
Kf71e6d8f238b7afc/资源兼容,True,U03/A03
Kf71e6d8f238b7afc/开始时刻,True,0.0
Kf71e6d8f238b7afc/返航SOC,True,0.5730302478184794
S010-WAT-01/首批时限,True,1044.968030443 <= 3600.0
K818373b2b01da0de/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K818373b2b01da0de/能耗复算,True,2.752414298801739
K818373b2b01da0de/时间复算,True,1922.7403507441854
K818373b2b01da0de/资源兼容,True,U06/B03
K818373b2b01da0de/开始时刻,True,1435.3795658311299
K818373b2b01da0de/返航SOC,True,0.3118964252995653
S012-MED-01/首批时限,True,2706.679741203 <= 3600.0
S012-MED-01/医疗时限,True,2706.679741203 <= 7200.0
S012-WAT-01/首批时限,True,2706.679741203 <= 3600.0
Kdfb7d6534c664afa/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kdfb7d6534c664afa/能耗复算,True,1.9244651365064214
Kdfb7d6534c664afa/时间复算,True,1552.1137376764395
Kdfb7d6534c664afa/资源兼容,True,U04/A04
Kdfb7d6534c664afa/开始时刻,True,0.0
Kdfb7d6534c664afa/返航SOC,True,0.5723410807763508
S013-WAT-01/首批时限,True,1023.590202172 <= 3600.0
K3cdbabc671554db6/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K3cdbabc671554db6/能耗复算,True,2.1403884821074026
K3cdbabc671554db6/时间复算,True,1869.7564163815439
K3cdbabc671554db6/资源兼容,True,U05/B04
K3cdbabc671554db6/开始时刻,True,1516.2753989804246
K3cdbabc671554db6/返航SOC,True,0.46490287947314934
S014-MED-01/首批时限,True,2758.710273838 <= 3600.0
S014-MED-01/医疗时限,True,2758.710273838 <= 7200.0
S014-WAT-01/首批时限,True,2758.710273838 <= 3600.0
K7d1c2b76b4e740be/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K7d1c2b76b4e740be/能耗复算,True,6.3240577359260435
K7d1c2b76b4e740be/时间复算,True,2502.0913496046687
K7d1c2b76b4e740be/资源兼容,True,U08/C04
K7d1c2b76b4e740be/开始时刻,True,2173.812384815261
K7d1c2b76b4e740be/返航SOC,True,0.20949278300924457
S003-MED-01/首批时限,True,3885.318059618 <= 7200.0
S003-MED-01/医疗时限,True,3885.318059618 <= 7200.0
S003-WAT-01/首批时限,True,3885.318059618 <= 7200.0
K402360239976e579/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K402360239976e579/能耗复算,True,6.152932018907209
K402360239976e579/时间复算,True,2301.0566924832005
K402360239976e579/资源兼容,True,U07/C01
K402360239976e579/开始时刻,True,3253.722945290824
K402360239976e579/返航SOC,True,0.23088349763659888
S004-MED-01/首批时限,True,4837.221291532 <= 7200.0
S004-MED-01/医疗时限,True,4837.221291532 <= 7200.0
S004-WAT-01/首批时限,True,4837.221291532 <= 7200.0
Kbe0b914994b33c65/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kbe0b914994b33c65/能耗复算,True,5.8360117114838115
Kbe0b914994b33c65/时间复算,True,2199.7012130854614
Kbe0b914994b33c65/资源兼容,True,U08/C02
Kbe0b914994b33c65/开始时刻,True,4675.90373441993
Kbe0b914994b33c65/返航SOC,True,0.27049853606452356
S008-MED-01/首批时限,True,6173.594340963 <= 7200.0
S008-MED-01/医疗时限,True,6173.594340963 <= 7200.0
S008-WAT-01/首批时限,True,6173.594340963 <= 7200.0
K94079d662c185e91/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K94079d662c185e91/能耗复算,True,2.3209216410466773
K94079d662c185e91/时间复算,True,1908.5894031476528
K94079d662c185e91/资源兼容,True,U01/A05
K94079d662c185e91/开始时刻,True,1552.1137376764395
K94079d662c185e91/返航SOC,True,0.48423963532296055
S015-MED-01/首批时限,True,2749.848439250 <= 7200.0
S015-MED-01/医疗时限,True,2749.848439250 <= 7200.0
K78c94a30d30c22a8/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K78c94a30d30c22a8/能耗复算,True,4.222192859507031
K78c94a30d30c22a8/时间复算,True,1877.1905245257808
K78c94a30d30c22a8/资源兼容,True,U07/C03
K78c94a30d30c22a8/开始时刻,True,5554.779637774025
K78c94a30d30c22a8/返航SOC,True,0.4722258925616212
S005-MED-01/首批时限,True,6928.009900037 <= 10800.0
S005-MED-01/医疗时限,True,6928.009900037 <= 10800.0
S005-WAT-01/首批时限,True,6928.009900037 <= 10800.0
K639277b45f754bb7/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K639277b45f754bb7/能耗复算,True,2.124945846282494
K639277b45f754bb7/时间复算,True,1628.6132318313294
K639277b45f754bb7/资源兼容,True,U04/A06
K639277b45f754bb7/开始时刻,True,1552.1137376764395
K639277b45f754bb7/返航SOC,True,0.5277898119372235
S009-MED-01/首批时限,True,2618.010353592 <= 10800.0
S009-MED-01/医疗时限,True,2618.010353592 <= 10800.0
Kddd0efc2418e7a92/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kddd0efc2418e7a92/能耗复算,True,1.083525178551533
Kddd0efc2418e7a92/时间复算,True,1162.0229466578785
Kddd0efc2418e7a92/资源兼容,True,U03/A01
Kddd0efc2418e7a92/开始时刻,True,2253.8514700495716
Kddd0efc2418e7a92/返航SOC,True,0.7592166269885482
S011-MED-01/首批时限,True,3087.049610045 <= 10800.0
S011-MED-01/医疗时限,True,3087.049610045 <= 10800.0
K6d28f87bf4a9adf4/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K6d28f87bf4a9adf4/能耗复算,True,2.2171714488633962
K6d28f87bf4a9adf4/时间复算,True,1628.6132318313294
K6d28f87bf4a9adf4/资源兼容,True,U02/A04
K6d28f87bf4a9adf4/开始时刻,True,2278.0703326671837
K6d28f87bf4a9adf4/返航SOC,True,0.507295233585912
S009-WAT-01/首批时限,True,3343.966948583 <= 10800.0
Kd38bf7ab5ed430fa/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kd38bf7ab5ed430fa/能耗复算,True,1.1325068400047704
Kd38bf7ab5ed430fa/时间复算,True,1162.0229466578785
Kd38bf7ab5ed430fa/资源兼容,True,U04/A03
Kd38bf7ab5ed430fa/开始时刻,True,3180.726969507769
Kd38bf7ab5ed430fa/返航SOC,True,0.7483318133322732
S011-WAT-01/首批时限,True,4013.925109503 <= 10800.0
Kc9e3192012b1ea18/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kc9e3192012b1ea18/能耗复算,True,2.0095375213772284
Kc9e3192012b1ea18/时间复算,True,1708.276637426976
Kc9e3192012b1ea18/资源兼容,True,U06/B02
Kc9e3192012b1ea18/开始时刻,True,3358.119916575315
Kc9e3192012b1ea18/返航SOC,True,0.4976156196556929
S015-WAT-01/首批时限,True,4455.698235289 <= 10800.0
Kf19d097f0a8dd4cb/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kf19d097f0a8dd4cb/能耗复算,True,1.0069748039987942
Kf19d097f0a8dd4cb/时间复算,True,1089.100207293352
Kf19d097f0a8dd4cb/资源兼容,True,U05/B01
Kf19d097f0a8dd4cb/开始时刻,True,3386.0318153619683
Kf19d097f0a8dd4cb/返航SOC,True,0.7482562990003014
K35c7b3e302c7ade7/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K35c7b3e302c7ade7/能耗复算,True,1.2195257371607946
K35c7b3e302c7ade7/时间复算,True,1190.8995020773023
K35c7b3e302c7ade7/资源兼容,True,U03/A02
K35c7b3e302c7ade7/开始时刻,True,3415.87441670745
K35c7b3e302c7ade7/返航SOC,True,0.7289942806309345
Kcb3a7296162eec73/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kcb3a7296162eec73/能耗复算,True,1.2195257371607946
Kcb3a7296162eec73/时间复算,True,1190.8995020773023
Kcb3a7296162eec73/资源兼容,True,U01/A01
Kcb3a7296162eec73/开始时刻,True,3898.892801622337
Kcb3a7296162eec73/返航SOC,True,0.7289942806309345
K4624f43d396c3163/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K4624f43d396c3163/能耗复算,True,1.2195257371607946
K4624f43d396c3163/时间复算,True,1190.8995020773023
K4624f43d396c3163/资源兼容,True,U02/A06
K4624f43d396c3163/开始时刻,True,3964.600213989378
K4624f43d396c3163/返航SOC,True,0.7289942806309345
Kbd7c6dc81386deee/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kbd7c6dc81386deee/能耗复算,True,1.2195257371607946
Kbd7c6dc81386deee/时间复算,True,1190.8995020773023
Kbd7c6dc81386deee/资源兼容,True,U04/A05
Kbd7c6dc81386deee/开始时刻,True,4342.749916165647
Kbd7c6dc81386deee/返航SOC,True,0.7289942806309345
Kc11cab02f0311cc0/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kc11cab02f0311cc0/能耗复算,True,1.0069748039987942
Kc11cab02f0311cc0/时间复算,True,1089.100207293352
Kc11cab02f0311cc0/资源兼容,True,U05/B04
Kc11cab02f0311cc0/开始时刻,True,4650.2001576085095
Kc11cab02f0311cc0/返航SOC,True,0.7482562990003014
Kaf7dd1e100a71be6/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kaf7dd1e100a71be6/能耗复算,True,2.871432789745099
Kaf7dd1e100a71be6/时间复算,True,1943.7379819346033
Kaf7dd1e100a71be6/资源兼容,True,U03/A04
Kaf7dd1e100a71be6/开始时刻,True,4717.199760836827
Kaf7dd1e100a71be6/返航SOC,True,0.36190382450108904
K7e698c920a5f6f75/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K7e698c920a5f6f75/能耗复算,True,1.5531797132313567
K7e698c920a5f6f75/时间复算,True,1516.2753989804246
K7e698c920a5f6f75/资源兼容,True,U06/B03
K7e698c920a5f6f75/开始时刻,True,5066.396554002291
K7e698c920a5f6f75/返航SOC,True,0.6117050716921608
K6c651bf5f9d66b68/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K6c651bf5f9d66b68/能耗复算,True,2.9315124769532916
K6c651bf5f9d66b68/时间复算,True,2202.629278762021
K6c651bf5f9d66b68/资源兼容,True,U01/A03
K6c651bf5f9d66b68/开始时刻,True,5089.79230369964
K6c651bf5f9d66b68/返航SOC,True,0.3485527828992685
K3e24567b2241a105/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K3e24567b2241a105/能耗复算,True,1.8198151879106907
K3e24567b2241a105/时间复算,True,1667.4240845409602
K3e24567b2241a105/资源兼容,True,U02/A02
K3e24567b2241a105/开始时刻,True,5155.499716066681
K3e24567b2241a105/返航SOC,True,0.5955966249087354
K2c6bc08539c8fb48/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K2c6bc08539c8fb48/能耗复算,True,1.5156181928984134
K2c6bc08539c8fb48/时间复算,True,1435.3795658311299
K2c6bc08539c8fb48/资源兼容,True,U05/B01
K2c6bc08539c8fb48/开始时刻,True,5739.300364901861
K2c6bc08539c8fb48/返航SOC,True,0.6210954517753966
K806392540527a13e/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K806392540527a13e/能耗复算,True,1.8712384331477103
K806392540527a13e/时间复算,True,1552.1137376764395
