check,passed,detail
K1df606eb1559dd75/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K1df606eb1559dd75/能耗复算,True,2.720392502747031
K1df606eb1559dd75/时间复算,True,1692.1690773291593
K1df606eb1559dd75/资源兼容,True,U07/C01
K1df606eb1559dd75/开始时刻,True,0.0
K1df606eb1559dd75/返航SOC,True,0.6599509371566211
S001-MED-01/首批时限,True,1380.269538665 <= 3600.0
S001-MED-01/医疗时限,True,1380.269538665 <= 3600.0
S001-MED-02/医疗时限,True,1380.269538665 <= 3600.0
S001-WAT-01/首批时限,True,1380.269538665 <= 3600.0
K13be319b34d80848/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K13be319b34d80848/能耗复算,True,6.280824662604949
K13be319b34d80848/时间复算,True,2173.812384815261
K13be319b34d80848/资源兼容,True,U08/C02
K13be319b34d80848/开始时刻,True,0.0
K13be319b34d80848/返航SOC,True,0.21489691717438142
S002-MED-01/首批时限,True,1553.316192408 <= 3600.0
S002-MED-01/医疗时限,True,1553.316192408 <= 3600.0
S002-WAT-01/首批时限,True,1553.316192408 <= 3600.0
K08687fa7698f9ca9/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K08687fa7698f9ca9/能耗复算,True,6.185886308614606
K08687fa7698f9ca9/时间复算,True,3051.268461015817
K08687fa7698f9ca9/资源兼容,True,U07/C03
K08687fa7698f9ca9/开始时刻,True,1692.1690773291593
K08687fa7698f9ca9/返航SOC,True,0.22676421142317427
S006-MED-01/首批时限,True,2811.591011310 <= 3600.0
S006-MED-01/医疗时限,True,2811.591011310 <= 3600.0
S007-MED-01/首批时限,True,3569.908990007 <= 3600.0
S007-MED-01/医疗时限,True,3569.908990007 <= 3600.0
S007-WAT-01/首批时限,True,3569.908990007 <= 3600.0
S015-MED-01/首批时限,True,4081.842677070 <= 7200.0
S015-MED-01/医疗时限,True,4081.842677070 <= 7200.0
S015-WAT-01/首批时限,True,4081.842677070 <= 10800.0
K387129bb5e6c964b/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K387129bb5e6c964b/能耗复算,True,1.4763134596301828
K387129bb5e6c964b/时间复算,True,1435.3795658311299
K387129bb5e6c964b/资源兼容,True,U05/B01
K387129bb5e6c964b/开始时刻,True,0.0
K387129bb5e6c964b/返航SOC,True,0.6309216350924542
S010-MED-01/首批时限,True,965.226449582 <= 3600.0
S010-MED-01/医疗时限,True,965.226449582 <= 3600.0
Kb665122dc4c06a21/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kb665122dc4c06a21/能耗复算,True,1.4765650936951282
Kb665122dc4c06a21/时间复算,True,1390.4723251020891
Kb665122dc4c06a21/资源兼容,True,U06/B02
Kb665122dc4c06a21/开始时刻,True,0.0
Kb665122dc4c06a21/返航SOC,True,0.630858726576218
S013-MED-01/首批时限,True,942.769495884 <= 3600.0
S013-MED-01/医疗时限,True,942.769495884 <= 3600.0
Kf1fd5e0d441afb80/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kf1fd5e0d441afb80/能耗复算,True,1.2888815532930935
Kf1fd5e0d441afb80/时间复算,True,1253.4781941236301
Kf1fd5e0d441afb80/资源兼容,True,U01/A01
Kf1fd5e0d441afb80/开始时刻,True,0.0
Kf1fd5e0d441afb80/返航SOC,True,0.7135818770459792
S006-WAT-01/首批时限,True,875.502430395 <= 3600.0
Kf71e6d8f238b7afc/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kf71e6d8f238b7afc/能耗复算,True,1.9213638848168428
Kf71e6d8f238b7afc/时间复算,True,1594.8627275525841
Kf71e6d8f238b7afc/资源兼容,True,U02/A02
Kf71e6d8f238b7afc/开始时刻,True,0.0
Kf71e6d8f238b7afc/返航SOC,True,0.5730302478184794
S010-WAT-01/首批时限,True,1044.968030443 <= 3600.0
K818373b2b01da0de/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K818373b2b01da0de/能耗复算,True,2.752414298801739
K818373b2b01da0de/时间复算,True,1922.7403507441854
K818373b2b01da0de/资源兼容,True,U06/B03
K818373b2b01da0de/开始时刻,True,1390.4723251020891
K818373b2b01da0de/返航SOC,True,0.3118964252995653
S012-MED-01/首批时限,True,2661.772500474 <= 3600.0
S012-MED-01/医疗时限,True,2661.772500474 <= 7200.0
S012-WAT-01/首批时限,True,2661.772500474 <= 3600.0
Kdfb7d6534c664afa/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kdfb7d6534c664afa/能耗复算,True,1.9244651365064214
Kdfb7d6534c664afa/时间复算,True,1552.1137376764395
Kdfb7d6534c664afa/资源兼容,True,U03/A03
Kdfb7d6534c664afa/开始时刻,True,0.0
Kdfb7d6534c664afa/返航SOC,True,0.5723410807763508
S013-WAT-01/首批时限,True,1023.590202172 <= 3600.0
K3cdbabc671554db6/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K3cdbabc671554db6/能耗复算,True,2.1403884821074026
K3cdbabc671554db6/时间复算,True,1869.7564163815439
K3cdbabc671554db6/资源兼容,True,U05/B04
K3cdbabc671554db6/开始时刻,True,1435.3795658311299
K3cdbabc671554db6/返航SOC,True,0.46490287947314934
S014-MED-01/首批时限,True,2677.814440689 <= 3600.0
S014-MED-01/医疗时限,True,2677.814440689 <= 7200.0
S014-WAT-01/首批时限,True,2677.814440689 <= 3600.0
K7d1c2b76b4e740be/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K7d1c2b76b4e740be/能耗复算,True,6.3240577359260435
K7d1c2b76b4e740be/时间复算,True,2502.0913496046687
K7d1c2b76b4e740be/资源兼容,True,U08/C04
K7d1c2b76b4e740be/开始时刻,True,2173.812384815261
K7d1c2b76b4e740be/返航SOC,True,0.20949278300924457
S003-MED-01/首批时限,True,3885.318059618 <= 7200.0
S003-MED-01/医疗时限,True,3885.318059618 <= 7200.0
S003-WAT-01/首批时限,True,3885.318059618 <= 7200.0
Kb416b63a32900839/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kb416b63a32900839/能耗复算,True,6.306570627113795
Kb416b63a32900839/时间复算,True,2713.7406336996287
Kb416b63a32900839/资源兼容,True,U08/C01
Kb416b63a32900839/开始时刻,True,4675.90373441993
Kb416b63a32900839/返航SOC,True,0.21167867161077558
S004-MED-01/首批时限,True,6672.086021878 <= 7200.0
S004-MED-01/医疗时限,True,6672.086021878 <= 7200.0
S005-MED-01/首批时限,True,6109.133996683 <= 10800.0
S005-MED-01/医疗时限,True,6109.133996683 <= 10800.0
S005-WAT-01/首批时限,True,6109.133996683 <= 10800.0
Kbe0b914994b33c65/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kbe0b914994b33c65/能耗复算,True,5.8360117114838115
Kbe0b914994b33c65/时间复算,True,2199.7012130854614
Kbe0b914994b33c65/资源兼容,True,U07/C02
Kbe0b914994b33c65/开始时刻,True,4743.437538344977
Kbe0b914994b33c65/返航SOC,True,0.27049853606452356
S008-MED-01/首批时限,True,6241.128144888 <= 7200.0
S008-MED-01/医疗时限,True,6241.128144888 <= 7200.0
S008-WAT-01/首批时限,True,6241.128144888 <= 7200.0
K7bae4759637950ad/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K7bae4759637950ad/能耗复算,True,3.0353555177221425
K7bae4759637950ad/时间复算,True,2118.800185367184
K7bae4759637950ad/资源兼容,True,U04/A04
K7bae4759637950ad/开始时刻,True,0.0
K7bae4759637950ad/返航SOC,True,0.3254765516173017
S004-WAT-01/首批时限,True,1311.046759350 <= 7200.0
K639277b45f754bb7/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K639277b45f754bb7/能耗复算,True,2.124945846282494
K639277b45f754bb7/时间复算,True,1628.6132318313294
K639277b45f754bb7/资源兼容,True,U01/A05
K639277b45f754bb7/开始时刻,True,1253.4781941236301
K639277b45f754bb7/返航SOC,True,0.5277898119372235
S009-MED-01/首批时限,True,2319.374810039 <= 10800.0
S009-MED-01/医疗时限,True,2319.374810039 <= 10800.0
Kddd0efc2418e7a92/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kddd0efc2418e7a92/能耗复算,True,1.083525178551533
Kddd0efc2418e7a92/时间复算,True,1162.0229466578785
Kddd0efc2418e7a92/资源兼容,True,U03/A06
Kddd0efc2418e7a92/开始时刻,True,1552.1137376764395
Kddd0efc2418e7a92/返航SOC,True,0.7592166269885482
S011-MED-01/首批时限,True,2385.311877672 <= 10800.0
S011-MED-01/医疗时限,True,2385.311877672 <= 10800.0
K6d28f87bf4a9adf4/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K6d28f87bf4a9adf4/能耗复算,True,2.2171714488633962
K6d28f87bf4a9adf4/时间复算,True,1628.6132318313294
K6d28f87bf4a9adf4/资源兼容,True,U02/A01
K6d28f87bf4a9adf4/开始时刻,True,1795.8217539638572
K6d28f87bf4a9adf4/返航SOC,True,0.507295233585912
S009-WAT-01/首批时限,True,2861.718369880 <= 10800.0
Kd38bf7ab5ed430fa/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kd38bf7ab5ed430fa/能耗复算,True,1.1325068400047704
Kd38bf7ab5ed430fa/时间复算,True,1162.0229466578785
Kd38bf7ab5ed430fa/资源兼容,True,U04/A03
Kd38bf7ab5ed430fa/开始时刻,True,2278.0703326671837
Kd38bf7ab5ed430fa/返航SOC,True,0.7483318133322732
S011-WAT-01/首批时限,True,3111.268472663 <= 10800.0
Kf60ae6dae18a6492/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kf60ae6dae18a6492/能耗复算,True,1.2195257371607946
Kf60ae6dae18a6492/时间复算,True,1190.8995020773023
Kf60ae6dae18a6492/资源兼容,True,U03/A02
Kf60ae6dae18a6492/开始时刻,True,2714.136684334318
Kf60ae6dae18a6492/返航SOC,True,0.7289942806309345
K35c7b3e302c7ade7/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K35c7b3e302c7ade7/能耗复算,True,1.2195257371607946
K35c7b3e302c7ade7/时间复算,True,1190.8995020773023
K35c7b3e302c7ade7/资源兼容,True,U01/A04
K35c7b3e302c7ade7/开始时刻,True,3165.680668264692
K35c7b3e302c7ade7/返航SOC,True,0.7289942806309345
K2427fa81633eda7c/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K2427fa81633eda7c/能耗复算,True,1.0069748039987942
K2427fa81633eda7c/时间复算,True,1089.100207293352
K2427fa81633eda7c/资源兼容,True,U05/B02
K2427fa81633eda7c/开始时刻,True,3305.1359822126738
K2427fa81633eda7c/返航SOC,True,0.7482562990003014
K0992c11c34b1a641/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K0992c11c34b1a641/能耗复算,True,1.0069748039987942
K0992c11c34b1a641/时间复算,True,1089.100207293352
K0992c11c34b1a641/资源兼容,True,U06/B01
K0992c11c34b1a641/开始时刻,True,3313.2126758462746
K0992c11c34b1a641/返航SOC,True,0.7482562990003014
Kbd7c6dc81386deee/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kbd7c6dc81386deee/能耗复算,True,1.2195257371607946
Kbd7c6dc81386deee/时间复算,True,1190.8995020773023
Kbd7c6dc81386deee/资源兼容,True,U02/A06
Kbd7c6dc81386deee/开始时刻,True,3424.4349857951865
Kbd7c6dc81386deee/返航SOC,True,0.7289942806309345
K52efb09e27c88528/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K52efb09e27c88528/能耗复算,True,1.2195257371607946
K52efb09e27c88528/时间复算,True,1190.8995020773023
K52efb09e27c88528/资源兼容,True,U04/A05
K52efb09e27c88528/开始时刻,True,3665.9646704365687
K52efb09e27c88528/返航SOC,True,0.7289942806309345
Kaf7dd1e100a71be6/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kaf7dd1e100a71be6/能耗复算,True,2.871432789745099
Kaf7dd1e100a71be6/时间复算,True,1943.7379819346033
Kaf7dd1e100a71be6/资源兼容,True,U03/A03
Kaf7dd1e100a71be6/开始时刻,True,3937.2619219931075
Kaf7dd1e100a71be6/返航SOC,True,0.36190382450108904
Ka5bd4032e505313b/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Ka5bd4032e505313b/能耗复算,True,1.2888815532930935
Ka5bd4032e505313b/时间复算,True,1253.4781941236301
Ka5bd4032e505313b/资源兼容,True,U01/A01
Ka5bd4032e505313b/开始时刻,True,4356.580170341995
Ka5bd4032e505313b/返航SOC,True,0.7135818770459792
K2e9223eb2b2ca181/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K2e9223eb2b2ca181/能耗复算,True,1.0662736390720797
K2e9223eb2b2ca181/时间复算,True,1147.271254843175
K2e9223eb2b2ca181/资源兼容,True,U05/B04
K2e9223eb2b2ca181/开始时刻,True,4569.3043244592145
K2e9223eb2b2ca181/返航SOC,True,0.7334315902319801
Kba546f3b2925e2cc/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kba546f3b2925e2cc/能耗复算,True,2.424118782124915
Kba546f3b2925e2cc/时间复算,True,1960.5233035434708
Kba546f3b2925e2cc/资源兼容,True,U06/B03
Kba546f3b2925e2cc/开始时刻,True,4842.592205327028
Kba546f3b2925e2cc/返航SOC,True,0.39397030446877124
Kb9a5d3127686f58b/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kb9a5d3127686f58b/能耗复算,True,3.0353555177221425
Kb9a5d3127686f58b/时间复算,True,2118.800185367184
Kb9a5d3127686f58b/资源兼容,True,U02/A02
Kb9a5d3127686f58b/开始时刻,True,4615.334487872489
Kb9a5d3127686f58b/返航SOC,True,0.3254765516173017
Kf66a81ce45238bdb/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
Kf66a81ce45238bdb/能耗复算,True,3.0353555177221425
Kf66a81ce45238bdb/时间复算,True,2118.800185367184
Kf66a81ce45238bdb/资源兼容,True,U04/A04
Kf66a81ce45238bdb/开始时刻,True,4878.88760552178
Kf66a81ce45238bdb/返航SOC,True,0.3254765516173017
K5b1ba47004961453/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K5b1ba47004961453/能耗复算,True,1.2525458468588089
K5b1ba47004961453/时间复算,True,1253.4781941236301
K5b1ba47004961453/资源兼容,True,U01/A06
K5b1ba47004961453/开始时刻,True,5610.058364465625
K5b1ba47004961453/返航SOC,True,0.7216564784758203
K2c6bc08539c8fb48/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K2c6bc08539c8fb48/能耗复算,True,1.5156181928984134
K2c6bc08539c8fb48/时间复算,True,1435.3795658311299
K2c6bc08539c8fb48/资源兼容,True,U05/B02
K2c6bc08539c8fb48/开始时刻,True,5716.575579302389
K2c6bc08539c8fb48/返航SOC,True,0.6210954517753966
K806392540527a13e/物理可行,True,重新检查质量、体积、逐段载荷、能耗及最早交付
K806392540527a13e/能耗复算,True,1.8712384331477103
K806392540527a13e/时间复算,True,1552.1137376764395
